Listado de máquinas  excluídas CTT BAIRES A CF (I9801) CTT INTERIOR CF (I9803), Telefonogramas (I1492-I6900) y OPT (I0011-I0110);Region;provincia;Funcion equipo en STS;Server;Clie;Imp;Total de PC;Total de Impresoras;tipo server;Nombre del equipo;Direccion IP;Codigo STS;Observaciones
CDD DON TORCUATO BA;METRO_Z5;B;Serv;S;;;1;1;JP;I1007STM001;10.245.123.170;I1007;rehabilitandose ticket 39519 -B1611CLPW0001
CDD DON TORCUATO BA;METRO_Z5;B;Imp;;;I;;;JP;;10.245.123.171;I1007;
CDD GREGORIO DE LAFERRERE BA;METRO_Z7;B;Serv;S;;;1;1;JP;B1757CLCu0002;10.245.199.170;I1084;cambio de nombre equipo 1-07-2003 (antes 0001)
CDD GREGORIO DE LAFERRERE BA;METRO_Z7;B;Imp;;;I;;;JP; ;10.245.199.171;I1084;
CDD HURLINGHAM BA;METRO_Z6;B;Serv;S;;;1;1;JP;I1057STM001;10.245.135.170;I1057;B1686FDCW0001
CDD HURLINGHAM BA;METRO_Z6;B;Imp;;;I;;;JP; ;10.245.135.171;I1057;
CDD ITUZAINGO BA;METRO_Z6;B;Serv;S;;;1;1;JP;B1714ZAAw0001;10.245.111.170;I1066;
CDD ITUZAINGO BA;METRO_Z6;B;Imp;;;I;;;JP;;10.245.111.171;I1066;
CDD LA RIOJA LR;04 CUYO NOA;F;Serv;S;;;1;1;JP;I5868STM001;10.60.66.170;I5868;F5300ZAEW0003
CDD LA RIOJA LR;04 CUYO NOA;F;Imp;;;I;;;JP;;10.60.66.174;I5868;
CDD LANUS BA;METRO_Z9;B;Serv;S;;;1;1;JP;B1824ZAAu0001;10.245.114.170;I1107;
CDD LANUS BA;METRO_Z9;B;Imp;;;I;;;JP;;10.245.114.172;I1107;
CDD LOMAS DE ZAMORA BA;METRO_Z8;B;Serv;S;;;1;1;JP;B1832ZAAu0001;10.245.182.170;I1116;
CDD LOMAS DE ZAMORA BA;METRO_Z8;B;Imp;;;I;;;JP;;10.245.182.171;I1116;
